hotel,url,image_url,price,address,location,note,score,avg review,reviews count,property
Nineties homestay,https://www.booking.com/hotel/vn/nineties-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1194333906_391991569_1_1_0&highlighted_blocks=1194333906_391991569_1_1_0&matching_block_id=1194333906_391991569_1_1_0&sr_pri_blocks=1194333906_391991569_1_1_0__10000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/563097677.webp?k=dde2191ed8d41e0fa8fe5d8e1662896491c5d5786efe2593067384eaba85d895&o=,VND 100.000,Huế,Cách trung tâm 1km,None,"Đạt điểm 9,3
9,3",Tuyệt hảo,122,1 giường đơn
VINA Boutique Hotel,https://www.booking.com/hotel/vn/mai-apartment-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1309421801_403732200_1_0_0&highlighted_blocks=1309421801_403732200_1_0_0&matching_block_id=1309421801_403732200_1_0_0&sr_pri_blocks=1309421801_403732200_1_0_0__972000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/613807107.webp?k=b89cc94039fd715c10e9569a09b1b6e1d910d3252a413c4291d8066e4af9693d&o=,VND 9.720.000,Huế,"Cách trung tâm 1,3km",None,No info,No info,No info,1 giường đôi
TRẠNG NGUYÊN HUẾ HOTEL,https://www.booking.com/hotel/vn/trang-nguyen-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1182643501_390683840_2_0_0&highlighted_blocks=1182643501_390683840_2_0_0&matching_block_id=1182643501_390683840_2_0_0&sr_pri_blocks=1182643501_390683840_2_0_0__52650000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/553475850.webp?k=c607406ef8b36de0d9405c9bcc9f84a4eb272a170dc823e99d5b59108c743a0d&o=,VND 526.500,Huế,"Cách trung tâm 0,8km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,78,1 giường đôi lớn
Thanh Huong Homestay,https://www.booking.com/hotel/vn/thanhhuong-homstay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=314161303_130051381_1_0_0&highlighted_blocks=314161303_130051381_1_0_0&matching_block_id=314161303_130051381_1_0_0&sr_pri_blocks=314161303_130051381_1_0_0__20900000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/147272039.webp?k=b44254d8f92407453feb9c4ebcf00fe6a7b27c3d61d296344e8053fa05abc053&o=,VND 209.000,Huế,Cách trung tâm 50m,None,"Đạt điểm 8,4
8,4",Rất tốt,366,1 giường đôi
SALA HOTEL HUE,https://www.booking.com/hotel/vn/sala-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1078905501_380491622_2_1_0&highlighted_blocks=1078905501_380491622_2_1_0&matching_block_id=1078905501_380491622_2_1_0&sr_pri_blocks=1078905501_380491622_2_1_0__43500000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/493278624.webp?k=17b561b7c63f2035a21130aa91c5cc7d96db51c875c083c441049676fa5b84f9&o=,VND 435.000,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,1
8,1",Rất tốt,260,1 giường đôi lớn
Vina Spa Hotel,https://www.booking.com/hotel/vn/vina-spa.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=965935304_380472281_1_0_0_661345&highlighted_blocks=965935304_380472281_1_0_0_661345&matching_block_id=965935304_380472281_1_0_0_661345&sr_pri_blocks=965935304_380472281_1_0_0_661345_58988200&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/432951202.webp?k=61dd1922d844dd8f472c9e6e7590bbfd78d7b5d8a7cee60982ac1a82e7110c63&o=,VND 589.882,Huế,"Cách trung tâm 1,2km",None,"Đạt điểm 8,4
8,4",Rất tốt,503,1 giường đôi cực lớn
TTC Imperial Hotel,https://www.booking.com/hotel/vn/imperial-hue-hue-city.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=19160810_347217686_0_1_0&highlighted_blocks=19160810_347217686_0_1_0&matching_block_id=19160810_347217686_0_1_0&sr_pri_blocks=19160810_347217686_0_1_0__148500000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/326710120.webp?k=43b94798c638bd2b2dd6e3dcbe26d58e0c5fdb837019a3748e8a37a5f2fba084&o=,VND 1.485.000,Huế,Cách trung tâm 350m,None,"Đạt điểm 8,8
8,8",Tuyệt vời,461,1 giường đôi lớn
Kly Boutique Hotel,https://www.booking.com/hotel/vn/nam-gold-thanh-pho-hue1.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1151030201_392673986_2_0_0_418776&highlighted_blocks=1151030201_392673986_2_0_0_418776&matching_block_id=1151030201_392673986_2_0_0_418776&sr_pri_blocks=1151030201_392673986_2_0_0_418776_40000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/555425991.webp?k=132a100019f4369f361b302751982e1bede1ab52397ad3c9c6e00e40f95dd45d&o=,VND 400.000,Huế,"Cách trung tâm 0,8km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,224,1 giường đôi lớn
Boutique Hue K L Y,https://www.booking.com/hotel/vn/boutique-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1190908002_392496824_2_0_0_411851&highlighted_blocks=1190908002_392496824_2_0_0_411851&matching_block_id=1190908002_392496824_2_0_0_411851&sr_pri_blocks=1190908002_392496824_2_0_0_411851_40320000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/554017080.webp?k=c82585d3c926194b0628a76b9b3fb37dd336c0f8f3f25fa0253f1a0b4e04b5c8&o=,VND 403.200,Huế,"Cách trung tâm 0,8km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,264,1 giường đôi lớn
Purple Hue Central Hub,https://www.booking.com/hotel/vn/purple-hue-bnb-central-hub.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=501551501_169773491_2_0_0&highlighted_blocks=501551501_169773491_2_0_0&matching_block_id=501551501_169773491_2_0_0&sr_pri_blocks=501551501_169773491_2_0_0__38000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/196604586.webp?k=2a9f8d9bfb12f2d1aeeacd056694d18a3b40edd001b7af47c8d02c268da33c89&o=,VND 380.000,Huế,"Cách trung tâm 0,5km",None,"Đạt điểm 9,2
9,2",Tuyệt hảo,880,1 giường đôi lớn
Hue Nino Hotel,https://www.booking.com/hotel/vn/hue-nino.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=26418123_402114923_0_1_0_661729&highlighted_blocks=26418123_402114923_0_1_0_661729&matching_block_id=26418123_402114923_0_1_0_661729&sr_pri_blocks=26418123_402114923_0_1_0_661729_37689800&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/423125522.webp?k=95d600605b7e94764a23f203951cda7c498a6c508fd80d5988b6f5bbfbd64fda&o=,VND 376.898,Huế,"Cách trung tâm 1,1km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,1.572,1 giường đôi lớn
Hotel La Perle,https://www.booking.com/hotel/vn/la-perle.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=188199961_264938036_0_2_0&highlighted_blocks=188199961_264938036_0_2_0&matching_block_id=188199961_264938036_0_2_0&sr_pri_blocks=188199961_264938036_0_2_0__38250000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/406507048.webp?k=e526c0fcf5d6bdfb29c33fc2f501eb290774e05f0804c6e6a6bd8d5b392fa4f9&o=,VND 382.500,Huế,Cách trung tâm 1km,None,"Đạt điểm 9,3
9,3",Tuyệt hảo,1.325,1 giường đôi lớn
Tùng Homestay,https://www.booking.com/hotel/vn/tung-hostel-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=462493601_141216641_2_2_0&highlighted_blocks=462493601_141216641_2_2_0&matching_block_id=462493601_141216641_2_2_0&sr_pri_blocks=462493601_141216641_2_2_0__37000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/198065094.webp?k=bef7ddababa3f3facf17b1076cea8324fff58bd55763701ffcaf56d9d2c0bfc0&o=,VND 370.000,Huế,"Cách trung tâm 0,6km",None,"Đạt điểm 9,0
9,0",Tuyệt hảo,581,1 giường đôi
Be Them homestay,https://www.booking.com/hotel/vn/be-them-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=1027437601_375498486_1_0_0&highlighted_blocks=1027437601_375498486_1_0_0&matching_block_id=1027437601_375498486_1_0_0&sr_pri_blocks=1027437601_375498486_1_0_0__17820000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/469761015.webp?k=c5e3cfd1dab5afd2dfd9cddb603c0ebc20645de7f86838109978e4430a0d221d&o=,VND 178.200,Huế,"Cách trung tâm 0,9km",None,"Đạt điểm 7,8
7,8",Tốt,59,1 giường đôi lớn
Tâm Homestay,https://www.booking.com/hotel/vn/tam-homestay-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=516383807_384825005_0_1_0&highlighted_blocks=516383807_384825005_0_1_0&matching_block_id=516383807_384825005_0_1_0&sr_pri_blocks=516383807_384825005_0_1_0__47520000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/208111834.webp?k=f6a6577655eb63efc13be634f3b0210aa0d634949b08b0ff36c36fd736221388&o=,VND 475.200,Huế,"Cách trung tâm 0,9km",None,"Đạt điểm 9,6
9,6",Xuất sắc,1.114,1 giường đôi cực lớn
Sunny A Hotel,https://www.booking.com/hotel/vn/sunny-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=113775918_348620508_2_0_0&highlighted_blocks=113775918_348620508_2_0_0&matching_block_id=113775918_348620508_2_0_0&sr_pri_blocks=113775918_348620508_2_0_0__27000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/101860513.webp?k=f96931e5779710f83f7d39202a7105c5bb6e2d03c8e7ec98ad3baf06558d43d7&o=,VND 270.000,Huế,Cách trung tâm 350m,None,"Đạt điểm 8,8
8,8",Tuyệt vời,1.254,2 giường đơn
Century Riverside Hotel Hue,https://www.booking.com/hotel/vn/century-riverside-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=26178218_278757316_0_42_0_178215&highlighted_blocks=26178218_278757316_0_42_0_178215&matching_block_id=26178218_278757316_0_42_0_178215&sr_pri_blocks=26178218_278757316_0_42_0_178215_83700000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/289663418.webp?k=a65d7e0a0f222b58094d4cbdad01eb67b679a8cb100c30a0cdad30be7f59e154&o=,VND 837.000,Huế,"Cách trung tâm 0,9km",None,"Đạt điểm 7,7
7,7",Tốt,901,1 giường đôi lớn
Kha Hostel,https://www.booking.com/hotel/vn/kha-hue1.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=273947301_233749301_0_2_0&highlighted_blocks=273947301_233749301_0_2_0&matching_block_id=273947301_233749301_0_2_0&sr_pri_blocks=273947301_233749301_0_2_0__11800000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/556335831.webp?k=2e27d9671e125a990795a5b8a92302b13d580c411e874bf1d22ae79b3ffe8eed&o=,VND 118.000,Huế,"Cách trung tâm 0,8km",None,"Đạt điểm 8,7
8,7",Tuyệt vời,503,1 giường đơn
Le Robinet Homestay,https://www.booking.com/hotel/vn/le-robinet-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=339578906_239026882_2_2_0&highlighted_blocks=339578906_239026882_2_2_0&matching_block_id=339578906_239026882_2_2_0&sr_pri_blocks=339578906_239026882_2_2_0__44910000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/139705158.webp?k=ceda7aea7438efc47b535c17607255756b97afdf560196b311df25fb429389ac&o=,VND 449.100,Huế,"Cách trung tâm 1,7km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,790,1 giường đôi lớn
Thien Phu Hotel,https://www.booking.com/hotel/vn/thien-phu-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=325965004_263034815_0_0_0&highlighted_blocks=325965004_263034815_0_0_0&matching_block_id=325965004_263034815_0_0_0&sr_pri_blocks=325965004_263034815_0_0_0__30000000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/137193437.webp?k=af645cc2ce4b3f219ec8ef71eaa5897a5d71150aa43fdec5683d151f854e86c6&o=,VND 300.000,Huế,"Cách trung tâm 1,1km",None,"Đạt điểm 7,6
7,6",Tốt,365,1 giường đôi
SOLEIL BOUTIQUE,https://www.booking.com/hotel/vn/soleil-boutique-thanh-pho-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551797&all_sr_blocks=683932902_370947293_0_1_0&highlighted_blocks=683932902_370947293_0_1_0&matching_block_id=683932902_370947293_0_1_0&sr_pri_blocks=683932902_370947293_0_1_0__44000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/285947385.webp?k=b6b2fd2fda15b5a90fb93bc2550fc20df73851c4e4238a8f8612a8305a78f488&o=,VND 440.000,Huế,"Cách trung tâm 0,8km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,1.155,1 giường đôi lớn
Stop and Go Boutique Homestay Hue,https://www.booking.com/hotel/vn/stop-and-go-boutique-homestay-hue.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=323706902_262089864_1_2_0&highlighted_blocks=323706902_262089864_1_2_0&matching_block_id=323706902_262089864_1_2_0&sr_pri_blocks=323706902_262089864_1_2_0__43900000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/294519649.webp?k=b4170dd43a45f9a5458f92d1e1de88da060a05d1f28bd86c14e30f0ea214fa6f&o=,VND 439.000,Huế,Cách trung tâm 1km,None,"Đạt điểm 8,7
8,7",Tuyệt vời,345,1 giường đôi lớn
MyFa House,https://www.booking.com/hotel/vn/myfa-house.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=654405105_288791467_2_0_0&highlighted_blocks=654405105_288791467_2_0_0&matching_block_id=654405105_288791467_2_0_0&sr_pri_blocks=654405105_288791467_2_0_0__46200000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/400686334.webp?k=a837364410159346d0941c99eb8b3b4813f01b55298061d1d3fea7c88830ba05&o=,VND 462.000,Huế,"Cách trung tâm 1,2km",None,"Đạt điểm 8,9
8,9",Tuyệt vời,599,1 giường đôi cực lớn
TÒ VÒ Hostel 2 - Huế,https://www.booking.com/hotel/vn/hue-mate.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=558509001_349104441_1_2_0&highlighted_blocks=558509001_349104441_1_2_0&matching_block_id=558509001_349104441_1_2_0&sr_pri_blocks=558509001_349104441_1_2_0__30976000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/450536847.webp?k=1b4d685788d4a0dc3f3f8bfdd83ba6537bc476b814256a0e7ff2b128ba3b7b00&o=,VND 309.760,Huế,"Cách trung tâm 1,1km",None,"Đạt điểm 8,8
8,8",Tuyệt vời,35,1 giường đôi lớn
The Dreamers Homestay,https://www.booking.com/hotel/vn/the-dreamers-homestay.vi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKkxNW5BsACAdICJGRjOGVkODI4LWYyMzktNDIyZC1iM2JmLTlmNjNkODc1NDYwYtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-12-01&checkout=2024-12-02&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=f3a31252512201f5&srepoch=1731551787&all_sr_blocks=772214814_373263765_1_1_0&highlighted_blocks=772214814_373263765_1_1_0&matching_block_id=772214814_373263765_1_1_0&sr_pri_blocks=772214814_373263765_1_1_0__22000000&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/319049763.webp?k=b9deb4851b6c2a51f19fc2ab9c702f7a215fa3eb7e643f6a74f0a18b08438c27&o=,VND 220.000,Huế,"Cách trung tâm 2,1km",None,"Đạt điểm 9,1
9,1",Tuyệt hảo,168,1 giường đơn
